"iteration","elbo"
1,-755.306801358864
2,-725.416626651785
3,-722.722289886382
4,-722.307821283186
5,-722.221048244103
6,-722.201755839961
7,-722.197453650638
8,-722.196496999962
9,-722.196284690957
10,-722.196237620399
11,-722.196227189494
12,-722.196224878515
13,-722.196224366568
14,-722.196224253164
15,-722.196224228044
16,-722.196224222479
